League,Year,Season,Type,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,bResult
NALCS,2015,Spring,Season,TSM,C9,Dyrus,Irelia,Santorin,RekSai,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Balls,Gnar,Meteos,Elise,Hai,Fizz,Sneaky,Sivir,LemonNation,Thresh,1
NALCS,2015,Spring,Season,CST,DIG,Cris,Gnar,Impaler,Rengar,Jesiz,Ahri,Mash,Caitlyn,Sheep,Leona,Gamsu,Irelia,Crumbzz,JarvanIV,Shiphtur,Azir,CoreJJ,Corki,KiWiKiD,Annie,0
NALCS,2015,Spring,Season,WFX,GV,Flaresz,Renekton,ShorterACE,Rengar,Pobelter,Fizz,Altec,Sivir,Gleeb,Annie,Hauntzer,Sion,Saintvicious,LeeSin,Keane,Azir,Cop,Corki,BunnyFuFuu,Janna,1
NALCS,2015,Spring,Season,TIP,TL,Rhux,Irelia,Rush,JarvanIV,XiaoWeiXiao,Leblanc,Apollo,Sivir,Adrian,Thresh,Quas,Gnar,IWDominate,Nunu,Fenix,Lulu,KEITH,KogMaw,Xpecial,Janna,0
NALCS,2015,Spring,Season,CLG,T8,Benny,Gnar,Xmithie,JarvanIV,Link,Lissandra,Doublelift,Tristana,aphromoo,Janna,CaliTrlolz8,Sion,Porpoise8,RekSai,Slooshi8,Lulu,Maplestreet8,Corki,Dodo8,Annie,1
NALCS,2015,Spring,Season,DIG,TIP,Gamsu,Kassadin,Crumbzz,Rengar,Shiphtur,Leblanc,CoreJJ,Sivir,KiWiKiD,Annie,Rhux,Gnar,Rush,JarvanIV,XiaoWeiXiao,Lulu,Apollo,Corki,Adrian,Thresh,0
NALCS,2015,Spring,Season,CST,WFX,Cris,Irelia,Impaler,JarvanIV,Jesiz,Xerath,Mash,Corki,Sheep,Janna,Flaresz,Renekton,ShorterACE,LeeSin,Pobelter,Leblanc,Altec,Tristana,Gleeb,Nami,1
NALCS,2015,Spring,Season,TL,CLG,Quas,Renekton,IWDominate,JarvanIV,FeniX,Azir,KEITH,Caitlyn,Xpecial,Annie,Benny,Rumble,Xmithie,Rengar,Link,Leblanc,Doublelift,Sivir,Aphromoo,Blitzcrank,1
NALCS,2015,Spring,Season,C9,GV,Balls,Sion,Meteos,RekSai,Hai,Orianna,Sneaky,KogMaw,LemonNation,Janna,Hauntzer,Kassadin,Saintvicious,Vi,Keane,Zed,Cop,Corki,Bunny FuFuu,Morgana,0
NALCS,2015,Spring,Season,T8,TSM,CaliTrlolz8,Irelia,Porpoise8,Nocturne,Slooshi8,Orianna,Maplestreet8,Sivir,Dodo8,Nami,Dyrus,Gnar,Santorin,Rengar,Bjergsen,Leblanc,WildTurtle,Graves,Lustboy,Morgana,1
